timestamp,birth_month,cohort,uee_group,uee_mark,gpa,income
19/05/2020 23:57:27,January,K52,A,28.5,2.86,3. $700 - $1000
20/05/2020 0:01:40,November,K52,A,26.5,3.81,5. over $1500
20/05/2020 0:03:13,July,K52,D,26.5,3.38,4. $1000 - $1500
20/05/2020 0:03:41,July,K52,D,26.5,3.3,3. $700 - $1000
20/05/2020 0:09:41,February,K52,D,23.5,3.24,3. $700 - $1000
20/05/2020 0:20:53,May,K52,D,25.5,3.0,2. $500 - $700
20/05/2020 0:21:30,May,K52,D,25.5,3.0,2. $500 - $700
20/05/2020 0:46:54,August,K52,D,26,2.9,3. $700 - $1000
20/05/2020 1:12:33,September,K52,D,27.5,3.44,3. $700 - $1000
20/05/2020 1:49:28,July,K52,A,27.25,2.8,2. $500 - $700
20/05/2020 5:50:42,October,K52,D,23.5,3.58,3. $700 - $1000
20/05/2020 6:13:35,August,K52,A,22.75,3.57,2. $500 - $700
20/05/2020 10:20:09,December,K52,Tuyển thẳng,0,3.00,2. $500 - $700
20/05/2020 10:29:42,November,K52,A,24.5,2.92,2. $500 - $700
20/05/2020 15:16:27,May,K53,D,24.5,2.9,2. $500 - $700
20/05/2020 15:19:12,November,K54,D,25,2.8,2. $500 - $700
20/05/2020 15:22:02,October,K53,D,26,3.27,4. $1000 - $1500
20/05/2020 15:24:52,December,K53,D,25,2.84,2. $500 - $700
20/05/2020 15:25:49,February,K53,A,24,3.4,2. $500 - $700
20/05/2020 15:54:50,October,K58,D,25.7,0,1. under $500
20/05/2020 15:54:55,November,K56,D,27.75,3.45,
20/05/2020 16:10:43,September,K52,D,24,3.63,5. over $1500
20/05/2020 16:17:13,March,K52,D,27,3.41,3. $700 - $1000
20/05/2020 16:24:39,February,K52,D,25.5,3.3,1. under $500
20/05/2020 16:42:18,September,K55,D,28.25,3.67 ,
20/05/2020 16:49:34,September,K53,A,25,3.14,2. $500 - $700
20/05/2020 17:10:25,February,K56,A,29.8,3.9,1. under $500
20/05/2020 17:26:55,July,K53,D,23,4.4,1. under $500
20/05/2020 18:08:20,November,K53,D,25.5,2.87,1. under $500
20/05/2020 19:30:44,June,K52,D,25,3.18,2. $500 - $700
20/05/2020 20:22:46,August,K58,A,26.5,0,
21/05/2020 0:23:20,September,K52,D,24.5,3.1,4. $1000 - $1500
21/05/2020 13:42:52,December,K53,A,23.5,3.61,1. under $500
21/05/2020 13:44:32,August,K53,A,26,3.61,2. $500 - $700
21/05/2020 13:48:26,September,K53,D,25.5,3.6,2. $500 - $700
21/05/2020 13:57:44,May,K53,D,23,3.22,4. $1000 - $1500
21/05/2020 14:02:34,April,K53,D,24.5,3.0,5. over $1500
21/05/2020 14:06:11,October,K53,A,25.5,3.63,2. $500 - $700
21/05/2020 15:30:35,May,K53,Tuyển thẳng,0,3.75,1. under $500
21/05/2020 15:41:01,October,K53,D,25,3.3,2. $500 - $700
22/05/2020 11:53:45,February,K52,D,26,3.45,2. $500 - $700
26/05/2020 2:47:16,November,K52,A,26,3.2,5. over $1500
